model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_11,0.0001,0.001,False,50,500,22,525000.0,26.90909090909091,817.7272727272727,0.062402367032412816,0.060305561673021806,0.20827859388805753,0.20234147242571057,0.9420402859617636,0.9673136611536047,0.030387121684325724,0.03386603365771909,1.4189090909090827,3.358863636363633,21.315584415584414,-61.36692120980563,-131.2720263899159,-33.05073225611414,26.09090909090909,746.0454545454545,0.8181818181818182,25.07509090909091
model_12,0.0001,0.001,False,50,1000,22,525000.0,26.90909090909091,441.09090909090907,0.09603479372745433,0.08417195250064959,0.28266108946437235,0.2545137992328403,0.7856235257838226,0.9394541510082545,0.04418391658136283,0.05457064702877221,2.5659090909090656,5.274999999999984,11.47922077922078,-33.056845690694495,-70.76479874971932,-23.20286916118208,23.363636363636363,401.77272727272725,3.5454545454545454,19.782848484848515
model_13,0.0001,0.001,False,50,2000,22,525000.0,26.90909090909091,230.5909090909091,0.13118815512450246,0.09209258523261375,0.33998216303140655,0.24011996956396475,0.36002493341340597,0.8450660479738047,0.04109370883333342,0.07909839424173731,5.344545454545448,8.34842727272727,6.012987012987012,-21.405438853784176,-41.19844535951773,-23.64529923728103,18.40909090909091,210.45454545454547,8.5,12.175818181818215
model_14,0.0001,0.001,False,50,3000,22,525000.0,26.90909090909091,157.1818181818182,0.1338513936733311,0.09024075446482717,0.3092624788210397,0.21083117291097234,0.299856285665423,0.624560627093746,0.04770508754460649,0.08564991421912942,5.049727272727255,8.557245454545436,4.1000000000000005,-20.747546892165726,-34.1967188226997,-29.20477910871692,13.681818181818182,143.5,13.227272727272727,8.642121212121234
model_15,0.0001,0.001,False,50,5000,22,525000.0,26.90909090909091,97.54545454545455,0.11813149815911665,0.07886565582793831,0.23161123557790864,0.15917714489372536,0.1752077059308276,0.37365861567457054,0.041609574332740845,0.08411437774555047,5.386299999999968,7.992079999999961,2.550649350649351,-23.875648041447786,-32.23564001418266,-39.74110660053489,8.272727272727273,89.27272727272727,18.636363636363637,5.130181818181842
model_16,0.0001,0.001,False,100,500,22,525000.0,26.90909090909091,737.8636363636364,0.06588212274742201,0.061785487694761755,0.21433713033829915,0.20347671326806607,0.8925205472107954,0.91845156228578,0.0317876821291692,0.035964341290955264,1.4447272727272644,3.6559181818181767,19.2025974025974,-56.13313669269703,-118.91055177999274,-32.517156421776455,25.136363636363637,672.0909090909091,1.7727272727272727,23.298787878787895
model_17,0.0001,0.001,False,100,1000,22,525000.0,26.90909090909091,407.59090909090907,0.0980765275869957,0.08530789477175359,0.28140791363422557,0.25055325460025973,0.732270599961332,0.8889552697653951,0.04364544465500691,0.05603670680727791,2.8099090909090965,5.495890909090883,10.612987012987013,-31.431781031463924,-66.14619554711781,-23.938210137273344,22.40909090909091,371.45454545454544,4.5,18.779333333333366
model_18,0.0001,0.001,False,100,2000,22,525000.0,26.90909090909091,215.95454545454547,0.13485233949857478,0.10217038776900096,0.3387917890871579,0.2597420137448862,0.4626017938686338,0.8149795571964653,0.050498356846366436,0.08206632711497483,4.471363636363612,7.8325545454545304,5.603896103896104,-20.63725408599778,-38.99943159126872,-24.319801696998674,17.954545454545453,196.13636363636363,8.954545454545455,12.859848484848522
model_19,0.0001,0.001,False,100,3000,22,525000.0,26.90909090909091,148.27272727272728,0.13237403374944204,0.08826433976707372,0.294611164291854,0.19581992928081327,0.2598002940278508,0.5537517515946759,0.04438070597363605,0.08581253664536048,5.2911428571428285,8.500333333333312,3.864935064935065,-21.35140584481858,-33.99571136806292,-30.983798537741862,13.0,135.27272727272728,13.909090909090908,8.093606060606085
model_20,0.0001,0.001,False,100,5000,22,525000.0,26.90909090909091,93.04545454545455,0.12306883616767483,0.08426119195928472,0.23347904184718649,0.16405998817473189,0.17276347894163355,0.35879092239317734,0.044792950798241464,0.08840405114617367,5.189199999999958,7.563269999999993,2.4181818181818184,-23.100428858088932,-31.000422003693174,-39.10497773983227,8.409090909090908,84.63636363636364,18.5,5.308212121212143
