model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_20,0.0001,0.001,False,100,5000,229,180554.47598253275,5.681222707423581,15.820960698689957,0.09211115126369432,0.06472294851551122,0.12661018356227502,0.08940250060121921,0.07465220119663993,0.16606501142206254,0.041563752984399745,0.09353927900819385,4.748315789473687,5.691536842105265,1.229170120877495,-5.626638237184657,-6.995633625870186,-9.79803573934844,0.9519650655021834,14.868995633187772,4.729257641921397,0.6553391557496353
model_21,0.0001,0.001,True,1,500,229,180554.47598253275,5.681222707423581,161.96943231441048,0.13273053705350085,0.11160005432511978,0.2790931026788566,0.2441311018222158,0.5781880583383281,0.7055819786714984,0.053368834397334336,0.10553991747689652,2.610954773869344,4.077814070351757,10.90874157046355,-13.768708252696895,-28.12389272800218,-8.848757936441633,4.200873362445415,151.76855895196508,1.480349344978166,3.828093158660845
model_22,0.0001,0.001,True,1,1000,229,180554.47598253275,5.681222707423581,98.6593886462882,0.16038127188835904,0.1327058470427885,0.3245118676600542,0.27613482801528205,0.4769427656853807,0.6893821810948705,0.06135032580609564,0.12742834276288212,3.4678282828282776,5.065008080808076,6.6593640998964645,-8.522698095049952,-17.305348503015274,-6.5462200526393435,4.074235807860262,92.33624454148472,1.6069868995633187,3.5561397379912667
model_23,0.0001,0.001,True,1,2000,229,180554.47598253275,5.681222707423581,57.52838427947598,0.1861255974469259,0.13391799629935017,0.3458927581969854,0.24799737918844547,0.27895351929515816,0.6169835074022075,0.06261561963743938,0.15139710988197938,4.92812307692308,6.703659487179487,3.918421580529781,-5.863869772193854,-10.991855303845421,-6.133938141739249,3.506550218340611,53.80349344978166,2.1746724890829694,2.47115866084425
model_24,0.0001,0.001,True,1,3000,229,180554.47598253275,5.681222707423581,41.38864628820961,0.17404960150013793,0.11797995378806261,0.2946495721883622,0.19465450295979356,0.19941286985982593,0.46298448248101476,0.060827582813779646,0.14995261780098587,5.202096774193547,6.659297849462365,2.859625414524771,-5.472054804409538,-9.146132450844041,-7.014928644947744,2.703056768558952,38.685589519650655,2.978165938864629,1.7674352256186314
model_25,0.0001,0.001,True,1,5000,229,180554.47598253275,5.681222707423581,27.11353711790393,0.15150910738100445,0.10807707248966446,0.22413690351893967,0.15927623916438854,0.14277259936455927,0.3122424932147511,0.06418734065221886,0.1440185854497291,4.8779879518072295,6.128071084337352,1.8959392640574528,-5.51673705865311,-7.916080719701254,-8.504838153893232,1.7641921397379912,25.349344978165938,3.9170305676855897,1.2048384279475979
model_26,0.0001,0.001,True,10,500,229,180554.47598253275,5.681222707423581,102.61135371179039,0.1355358666281359,0.11284387319796131,0.2806705678123091,0.24000149045520366,0.4548528126552786,0.6152371688590542,0.05811660928069971,0.09829503026438256,3.164010638297865,4.90512765957446,7.137829839520985,-9.48895117739659,-18.55434822211881,-7.737912043681768,3.6200873362445414,95.61135371179039,2.061135371179039,3.1573013100436698
model_27,0.0001,0.001,True,10,1000,229,180554.47598253275,5.681222707423581,71.2882096069869,0.15579828042376534,0.12586785874275383,0.3100700903765502,0.25433558006622303,0.3861459479812935,0.6016538980898087,0.0650178349264681,0.11413143341996064,3.866126984126982,5.545298412698404,4.979506134040677,-7.029908405946683,-13.342802752151968,-6.790491800529631,3.502183406113537,66.48908296943232,2.1790393013100435,2.891190684133916
model_28,0.0001,0.001,True,10,2000,229,180554.47598253275,5.681222707423581,46.27947598253275,0.1657317668200326,0.12009475356439295,0.30685896799481244,0.2199395194315123,0.25098065340487635,0.5204683556019287,0.06431417733883277,0.1256664433822884,4.9862333333333275,6.651463333333326,3.264496093412686,-5.565222510078558,-9.65656838052678,-6.772824684024753,2.965065502183406,43.19650655021834,2.7161572052401746,2.080029112081515
model_29,0.0001,0.001,True,10,3000,229,180554.47598253275,5.681222707423581,35.043668122270745,0.14498164597147203,0.10067204777692058,0.2439966110190799,0.16609461148353918,0.15607288649929288,0.37908195102839337,0.05415512592367406,0.11730350495258157,5.283042944785268,6.796831901840488,2.524146103721302,-5.512725469606418,-8.605618063667935,-7.7392049367678,2.2532751091703056,32.790393013100434,3.427947598253275,1.5185735080058231
