detector,f3_weighted_mean,f3_weighted_median,f1_weighted_mean,f1_weighted_median,recall_10s_mean,recall_10s_median,precision_10s_mean,precision_10s_median,fp_per_min_mean,fp_per_min_median,edd_median_s_mean,edd_median_s_median,nab_score_standard_mean,nab_score_standard_median
adwin,0.17747058578203478,0.16802768994921985,0.05987109239284531,0.0482480620155033,0.657934079355648,0.875,0.045668640524687755,0.0333333333333333,5.447835744413003,4.244215291750503,4.070275729873194,3.8319999999999936,-3.6988432544644665,-3.3100000000000005
page_hinkley,0.17048726398399663,0.1438848920863309,0.050491362729153305,0.0327868852459016,0.8839703329248365,1.0,0.03448304862054334,0.0185185185185185,12.058010184845283,8.901062625754527,3.210791090879532,2.6260000000000048,-7.858370112655687,-5.396335403405682
kswin,0.1448211364194004,0.1282051282051282,0.0438696836214671,0.0307692307692307,0.6908457797181372,1.0,0.03113568760039172,0.0172413793103448,8.19148017268362,4.951584507042253,3.5254522619192796,2.994,-5.902652483595805,-4.0
hddm_a,0.16845900915211992,0.1438848920863309,0.050576739541089606,0.0340425531914893,0.846688112745098,1.0,0.03657158556552345,0.0238095238095238,10.988842059711208,7.073692152917505,3.5993047412945116,3.144000000000005,-7.318778482365854,-4.759729837578178
hddm_w,0.0025011724444510756,0.0,0.0007917942963687403,0.0,0.01161764705882353,0.0,0.0006889383779339597,0.0,0.39424347671506976,0.0,3.5474912280701782,2.0200000000000387,-3.02880040455552,-2.0
floss,0.2532621106967997,0.2379999999999995,0.13842530912281,0.09428264208909345,0.5314738127118132,0.5,0.15260297905521295,0.0666666666666666,1.546739935673751,0.943158953722334,4.379949048308729,4.2760000000000105,-1.8105346457302665,-1.3692146254207525
