model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_15,0.0001,0.001,False,50,5000,34,127232.0,2.8529411764705883,25.647058823529413,0.09607331250171619,0.0627554836493203,0.25614540710005407,0.1674167215633445,0.22720588235294117,0.56781045751634,0.022805429864253372,0.05621089907534917,5.45131034482759,6.374786206896555,2.8537493342407383,-2.8296193197110124,-5.061970581325163,-3.2134436889039373,1.4411764705882353,24.205882352941178,1.411764705882353,0.9115882352941176
model_16,0.0001,0.001,False,100,500,34,127232.0,2.8529411764705883,218.76470588235293,0.02691637512010449,0.026575516908000616,0.11310906419566855,0.11163059223415887,0.9196078431372549,0.9705882352941176,0.01223046515218223,0.013815216256568268,1.2907647058823504,2.00073529411765,24.487457835246772,-16.85559515803193,-35.93650420655351,-7.550434751418201,2.7941176470588234,207.7058823529412,0.058823529411764705,2.7585686274509804
model_17,0.0001,0.001,False,100,1000,34,127232.0,2.8529411764705883,116.94117647058823,0.0483343705810851,0.04671115427042266,0.18466694822658508,0.1788301074902481,0.8325980392156863,0.9852941176470589,0.01991733410996522,0.02526909857901274,2.713294117647061,3.5941352941176485,13.110602955971121,-8.120023148935271,-18.359322417015548,-3.2650793972480723,2.823529411764706,111.20588235294117,0.029411764705882353,2.7227647058823523
model_18,0.0001,0.001,False,100,2000,34,127232.0,2.8529411764705883,61.0,0.08244430485714314,0.06436018872800035,0.27575618346711744,0.21419552068757403,0.39133986928104575,0.9575163398692811,0.01841075709337264,0.04448203140656339,4.700941176470587,5.677347058823532,6.83096742218014,-3.597239751732801,-8.914793514156017,-1.2619922822858987,2.676470588235294,57.94117647058823,0.17647058823529413,2.054509803921568
model_19,0.0001,0.001,False,100,3000,34,127232.0,2.8529411764705883,41.411764705882355,0.08660420675479549,0.054595019022944793,0.2600528672536444,0.1607743702634615,0.201797385620915,0.6933823529411764,0.014128399516357871,0.04821559382134603,5.777103448275861,6.9845034482758654,4.646444845543851,-3.283799139502207,-6.878044122875266,-2.4572648831097954,2.0,39.411764705882355,0.8529411764705882,1.2368039215686273
model_20,0.0001,0.001,False,100,5000,34,127232.0,2.8529411764705883,25.441176470588236,0.0779739767219127,0.052024347063979084,0.20143113269316798,0.1345769289421679,0.18047385620915032,0.42344771241830065,0.020588235294117633,0.04592760180995474,5.201545454545456,6.330700000000001,2.86068432654752,-3.254358040666456,-5.499650429466392,-3.8964177286194293,1.1764705882352942,24.264705882352942,1.6764705882352942,0.7614313725490189
model_21,0.0001,0.001,True,1,500,34,127232.0,2.8529411764705883,250.14705882352942,0.023929838550789805,0.023758882409607305,0.1030444448280783,0.10224220319075161,0.9852941176470589,1.0,0.011457570637405065,0.012229044807735755,1.1073529411764744,1.5260235294117652,27.95495398863771,-19.473993199999082,-41.30448313510204,-8.7352188206829,2.8529411764705883,237.11764705882354,0.0,2.8320588235294117
model_22,0.0001,0.001,True,1,1000,34,127232.0,2.8529411764705883,126.38235294117646,0.04551855940307646,0.0444872994708176,0.17694022488820194,0.173136551309148,0.9681372549019607,1.0,0.02141196297331896,0.023708740651201127,2.3034705882352955,3.074117647058824,14.119644336607882,-8.838337965901855,-19.892427522233973,-3.5465873053828543,2.8529411764705883,119.76470588235294,0.0,2.782627450980392
model_23,0.0001,0.001,True,1,2000,34,127232.0,2.8529411764705883,63.94117647058823,0.08127888532941252,0.06346493411055211,0.2763358811034968,0.21434073489361932,0.3727124183006536,0.9901960784313725,0.01838235294117647,0.043664769472922235,4.908764705882355,5.917076470588237,7.1707820452124515,-3.8157833984037772,-9.420392646659543,-1.3075964213347182,2.764705882352941,60.8235294117647,0.08823529411764706,2.1276274509803916
model_24,0.0001,0.001,True,1,3000,34,127232.0,2.8529411764705883,42.970588235294116,0.09045413716194063,0.06410703585869898,0.27988565717793407,0.19682859445293216,0.3668300653594771,0.80890522875817,0.021887824897400782,0.049947886131196606,5.007818181818182,6.312951515151518,4.812884660906616,-3.0148639526744603,-6.744929107640819,-1.943949022250105,2.1470588235294117,40.8235294117647,0.7058823529411765,1.4901764705882354
