model_id,lambda_,delta,alpha,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,10.0,0.005,0.99,10,500,22,525000.0,26.90909090909091,929.3181818181819,0.057948733253179396,0.056819434001761766,0.1942934958759917,0.19138879948722562,0.9857799668470532,0.9892421011823997,0.02860210083904794,0.03144232986016727,1.1331818181818127,2.6044454545454343,24.2974025974026,-70.29554825135708,-149.6529079321979,-37.29868659275485,26.636363636363637,850.4090909090909,0.2727272727272727,26.019606060606062
model_2,10.0,0.005,0.99,10,1000,22,525000.0,26.90909090909091,487.8181818181818,0.09046200481824491,0.08008970965937022,0.26939551105234943,0.2455930214451332,0.8842700624230936,0.9620216880421427,0.043649390971607076,0.051368445456173695,2.2428181818181554,4.603863636363614,12.746753246753247,-36.21428056174947,-77.93378280453625,-23.945438531265168,23.90909090909091,446.1363636363636,3.0,20.602181818181837
model_3,10.0,0.005,0.99,10,2000,22,525000.0,26.90909090909091,250.5909090909091,0.12691710722837932,0.09304254383310616,0.3364700227097725,0.25237065322957936,0.4960454563029273,0.8833308235331256,0.042092461397950275,0.07644633598184013,4.417818181818131,7.762718181818166,6.545454545454546,-22.272756264408812,-43.7533102405978,-23.35066109449614,19.136363636363637,229.0909090909091,7.7727272727272725,13.342787878787929
model_4,10.0,0.005,0.99,10,4000,22,525000.0,26.90909090909091,127.63636363636364,0.12285781119260551,0.08183530260363713,0.2634661878423615,0.17984477292507395,0.3155930634659583,0.5388943596990079,0.046987678010061935,0.08430048417847703,4.894363636363639,8.189690909090901,3.3363636363636364,-23.023196152387055,-33.93810499185092,-35.52028718720057,10.863636363636363,116.77272727272727,16.045454545454547,6.768484848484866
model_5,10.0,0.005,0.99,50,500,22,525000.0,26.90909090909091,823.6818181818181,0.0620119910008653,0.05987340782480588,0.20703673622884178,0.2010282919178412,0.9435587864092067,0.9673136611536047,0.030208151575625623,0.033660437152879676,1.287636363636327,3.1531090909090764,21.46883116883117,-61.855187487619965,-132.2030716192917,-33.317609058147724,26.09090909090909,751.4090909090909,0.8181818181818182,25.04684848484849
model_6,10.0,0.005,0.99,50,1000,22,525000.0,26.90909090909091,442.54545454545456,0.09561087739551989,0.08340794027498855,0.282448285321336,0.2535414534924055,0.8048269019257023,0.9413939912185643,0.04415037402216939,0.054263363247596556,2.5971818181818236,5.2829181818181725,11.515584415584415,-33.05873808307433,-70.87837387638291,-23.19437473187459,23.40909090909091,403.04545454545456,3.5,19.691090909090942
model_7,10.0,0.005,0.99,50,2000,22,525000.0,26.90909090909091,231.45454545454547,0.13325610845961913,0.09364281214913288,0.3430929529656686,0.2438562040884358,0.4357182977514222,0.8475397631283855,0.042445001563931106,0.08062814983926653,5.0698181818181585,7.871790909090898,6.014285714285714,-20.442829583156733,-40.21550975306564,-22.19285313456592,18.90909090909091,210.5,8.0,12.495000000000035
model_8,10.0,0.005,0.99,50,4000,22,525000.0,26.90909090909091,120.13636363636364,0.127381070395133,0.08842460035780851,0.26878946894857,0.19090255750359006,0.3083690209690926,0.5113501251360434,0.050048443394590934,0.08674001113989525,4.493545454545413,7.745090909090891,3.128571428571429,-22.547485786702335,-32.81240964624486,-35.55138749329471,10.636363636363637,109.5,16.272727272727273,6.836939393939418
model_9,10.0,0.005,0.99,200,500,22,525000.0,26.90909090909091,653.4545454545455,0.07314979121870778,0.0677250655694567,0.23021045645743607,0.21521341777105765,0.8227077368470198,0.8861793141323762,0.033784262985302044,0.040171491483808316,1.6345454545454354,4.062172727272705,16.933766233766235,-50.15033309163078,-105.54996661966602,-30.95051632761315,24.636363636363637,592.6818181818181,2.272727272727273,22.730484848484867
model_10,10.0,0.005,0.99,200,1000,22,525000.0,26.90909090909091,370.09090909090907,0.10582752384089261,0.09092561938220257,0.2917696920131938,0.25571470413200487,0.6854725525035897,0.8549704658158184,0.04600324655375965,0.06098625531723574,2.75536363636361,5.84186363636361,9.6012987012987,-29.57264782636648,-61.04149016398199,-24.520044839376908,21.818181818181817,336.04545454545456,5.090909090909091,18.080545454545476
model_11,10.0,0.005,0.99,200,2000,22,525000.0,26.90909090909091,200.5,0.13911839098889506,0.10128962651401432,0.33275958808636097,0.24297617960985118,0.3991256661413545,0.7613325820558455,0.04657087825793902,0.0859364557995655,4.794666666666665,8.16331428571427,5.18961038961039,-20.070048138898944,-37.1185108649238,-24.545816775886518,17.40909090909091,181.63636363636363,9.5,11.773090909090932
model_12,10.0,0.005,0.99,200,4000,22,525000.0,26.90909090909091,107.4090909090909,0.13998213989370864,0.09516692981870381,0.2707872769524618,0.18908327659182833,0.23917512997415946,0.4629788896661661,0.04890138475412169,0.09816483867686995,4.838952380952355,7.630038095238079,2.7675324675324675,-21.511244806432067,-30.536175210723535,-35.22605233155906,10.545454545454545,96.86363636363636,16.363636363636363,6.570181818181836
model_13,10.0,0.005,0.9999,10,500,22,525000.0,26.90909090909091,929.9090909090909,0.057874006074028365,0.056747137100020356,0.19413700909899206,0.19123527285020533,0.9857799668470532,0.9892421011823997,0.028580631773613266,0.03139676840081845,1.1386363636363532,2.5886272727272517,24.322077922077924,-70.3309979994111,-149.74489501676337,-37.2604131270986,26.636363636363637,851.2727272727273,0.2727272727272727,26.01948484848485
model_14,10.0,0.005,0.9999,10,1000,22,525000.0,26.90909090909091,488.0,0.09048903104873135,0.08031738066958634,0.26940187150670875,0.24614649229482455,0.8859704764369404,0.9620216880421427,0.04354196010990802,0.05138998973546429,2.325999999999975,4.629072727272703,12.749350649350648,-36.28785920165624,-78.01666465716508,-24.10527465572,23.90909090909091,446.22727272727275,3.0,20.6627878787879
model_15,10.0,0.005,0.9999,10,2000,22,525000.0,26.90909090909091,250.77272727272728,0.12658767482834388,0.09300758009694222,0.33524355576783216,0.25275925702432206,0.5080926583094237,0.8798872973623268,0.04190834609838355,0.07627574574557763,4.334272727272694,7.483909090909077,6.548051948051948,-22.38941667858152,-43.88011063208647,-23.50770606546541,19.09090909090909,229.1818181818182,7.818181818181818,13.322090909090953
model_16,10.0,0.005,0.9999,10,4000,22,525000.0,26.90909090909091,127.68181818181819,0.1215761395004293,0.0819718429356109,0.26002937493146444,0.18021867482119291,0.31407791195080675,0.5328337536384019,0.046971663490230624,0.08357978940487971,4.740727272727269,8.128027272727273,3.34025974025974,-23.082208164656628,-34.007116996668586,-35.619753748650645,10.772727272727273,116.9090909090909,16.136363636363637,6.7853333333333525
model_17,10.0,0.005,0.9999,50,500,22,525000.0,26.90909090909091,825.0454545454545,0.06189563244474339,0.05975116303127896,0.20671801476423868,0.20068169548716677,0.9415825018242263,0.9673136611536047,0.03008819490668829,0.0335952819795944,1.3462727272726933,3.248972727272715,21.51298701298701,-62.00558183211343,-132.49670780476575,-33.396382482150905,26.09090909090909,752.9545454545455,0.8181818181818182,25.044212121212126
model_18,10.0,0.005,0.9999,50,1000,22,525000.0,26.90909090909091,443.09090909090907,0.09548807506470293,0.08336312015258027,0.28218171731567193,0.25357079360419427,0.8100444565593545,0.9413939912185643,0.04425169908955935,0.054192002806320264,2.634727272727283,5.210527272727263,11.532467532467534,-33.20525543211871,-71.07084253717765,-23.36337097049833,23.40909090909091,403.6363636363636,3.5,19.70812121212125
model_19,10.0,0.005,0.9999,50,2000,22,525000.0,26.90909090909091,231.54545454545453,0.1327822770979432,0.09251750694922727,0.3420831912029033,0.24068457980980573,0.42151938630628094,0.8462028647326637,0.04132520227811218,0.0803430799970345,5.115363636363622,7.845754545454533,6.020779220779221,-20.528476068535454,-40.32100725863344,-22.268574109850093,18.863636363636363,210.72727272727272,8.045454545454545,12.357606060606095
model_20,10.0,0.005,0.9999,50,4000,22,525000.0,26.90909090909091,120.18181818181819,0.12748100853763852,0.09004693053946855,0.2676612421758157,0.19347424786273743,0.3152916959952159,0.49141843562123494,0.05109739444354198,0.08673459020424176,4.045727272727245,7.4542727272727145,3.12987012987013,-22.446421843261202,-32.71634327219961,-35.44782476515563,10.636363636363637,109.54545454545455,16.272727272727273,6.969242424242447
model_21,10.0,0.005,0.9999,200,500,22,525000.0,26.90909090909091,655.4090909090909,0.07285517492315165,0.06745771586162327,0.22957120645829104,0.21462707953448376,0.8227077368470198,0.8861793141323762,0.03366898070225445,0.039999035217010474,1.6571818181817974,4.061809090909069,16.992207792207793,-50.28869417357082,-105.8719145539974,-30.95162943790297,24.636363636363637,594.7272727272727,2.272727272727273,22.73009090909093
model_22,10.0,0.005,0.9999,200,1000,22,525000.0,26.90909090909091,370.8181818181818,0.10602194805013937,0.0910495889827739,0.2924864146280315,0.25621026761126303,0.6862570963698985,0.8569467504007986,0.0461862354675985,0.061080786735697605,2.6948181818181562,5.832527272727247,9.623376623376624,-29.546216936935423,-61.08809843670151,-24.411639823416014,21.863636363636363,336.8181818181818,5.045454545454546,18.117787878787905
model_23,10.0,0.005,0.9999,200,2000,22,525000.0,26.90909090909091,200.6818181818182,0.13706656641194262,0.09935755018990008,0.3287353250077955,0.23910197585490625,0.39481188576632786,0.7558954899264407,0.0464126120483888,0.08466376425770497,4.795523809523804,8.119390476190457,5.201298701298701,-20.58929403341871,-37.68246917472515,-25.31543373549276,17.227272727272727,182.04545454545453,9.681818181818182,11.631333333333362
model_24,10.0,0.005,0.9999,200,4000,22,525000.0,26.90909090909091,107.4090909090909,0.1399979156447282,0.09496101788301306,0.2709680407008095,0.18874602920703812,0.2619024027014322,0.4629788896661661,0.049203343306909536,0.09808750400077426,4.659714285714262,7.629409523809507,2.7675324675324675,-21.534925674856435,-30.56485866940309,-35.24723190485583,10.545454545454545,96.86363636363636,16.363636363636363,6.543757575757589
model_25,10.0,0.01,0.99,10,500,22,525000.0,26.90909090909091,928.9090909090909,0.05796178697514307,0.05683245403724515,0.19433203956342748,0.1914272733175841,0.9857799668470532,0.9892421011823997,0.0286110896797751,0.03144953712316803,1.1387272727272706,2.5785909090908863,24.28961038961039,-70.2803660950186,-149.59010139004346,-37.35277117477892,26.636363636363637,850.1363636363636,0.2727272727272727,26.019606060606062
model_26,10.0,0.01,0.99,10,1000,22,525000.0,26.90909090909091,487.59090909090907,0.09049055405997705,0.08011817528320747,0.2694843449826468,0.24568159215079435,0.8842700624230936,0.9620216880421427,0.04366261957671946,0.051383725322199834,2.2428181818181554,4.603863636363614,12.74025974025974,-36.18928076696891,-77.88378321497513,-23.93293863387489,23.90909090909091,445.90909090909093,3.0,20.602181818181837
model_27,10.0,0.01,0.99,10,2000,22,525000.0,26.90909090909091,250.5,0.12695081460613292,0.09306551471239179,0.3365388849154566,0.2524160731049634,0.4960454563029273,0.8833308235331256,0.04209768068201213,0.07646574634196865,4.417818181818131,7.762718181818166,6.542857142857144,-22.262756265143338,-43.73331024206686,-23.3456610948634,19.136363636363637,229.0,7.7727272727272725,13.342787878787929
model_28,10.0,0.01,0.99,10,4000,22,525000.0,26.90909090909091,127.5909090909091,0.12289189784086538,0.08185990796226525,0.2635141339892493,0.17987892065286984,0.3155930634659583,0.5388943596990079,0.047002044174870576,0.08432203342569,4.894363636363639,8.189690909090901,3.335064935064935,-23.018196152387056,-33.92810499185092,-35.517787187200575,10.863636363636363,116.72727272727273,16.045454545454547,6.768484848484866
model_29,10.0,0.01,0.99,50,500,22,525000.0,26.90909090909091,823.7272727272727,0.06201003345013538,0.05987146888676058,0.20702881182693159,0.2010204430764776,0.9435587864092067,0.9673136611536047,0.030207305279862186,0.03365943054640957,1.2867272727272316,3.1531090909090764,21.47012987012987,-61.855199113283696,-132.20308712702203,-33.31761874277817,26.09090909090909,751.4545454545455,0.8181818181818182,25.04684848484849
model_30,10.0,0.01,0.99,50,1000,22,525000.0,26.90909090909091,442.6363636363636,0.09559640667074275,0.0833935747278061,0.28240293911325354,0.2534964614696414,0.8048269019257023,0.9413939912185643,0.04414413137284228,0.05425561753139387,2.5971818181818236,5.2829181818181725,11.518181818181818,-33.06377411987307,-70.88840991989426,-23.19691076531702,23.40909090909091,403.1363636363636,3.5,19.691090909090942
model_31,10.0,0.01,0.99,50,2000,22,525000.0,26.90909090909091,231.45454545454547,0.1332519306521325,0.09347376180515572,0.34307549730305165,0.24308486488288208,0.4357182977514222,0.8475397631283855,0.042445001563931106,0.0806260110031356,5.197636363636335,7.884572727272715,6.015584415584416,-20.466471054246735,-40.244128869548504,-22.21400578295948,18.90909090909091,210.54545454545453,8.0,12.473666666666702
model_32,10.0,0.01,0.99,50,4000,22,525000.0,26.90909090909091,120.13636363636364,0.127381070395133,0.08842460035780851,0.26878946894857,0.19090255750359006,0.3083690209690926,0.5113501251360434,0.050048443394590934,0.08674001113989525,4.493545454545413,7.745090909090891,3.128571428571429,-22.54748739042249,-32.812411247566914,-35.55138909821391,10.636363636363637,109.5,16.272727272727273,6.836939393939418
model_33,10.0,0.01,0.99,200,500,22,525000.0,26.90909090909091,653.2727272727273,0.07317223926769255,0.0677470301189013,0.23028109293916546,0.2152809856788214,0.8227077368470198,0.8861793141323762,0.033791973025593024,0.04018246681788582,1.6348181818181606,4.062581818181792,16.92857142857143,-50.14055924427492,-105.53021824426955,-30.945729744277607,24.636363636363637,592.5,2.272727272727273,22.730454545454563
model_34,10.0,0.01,0.99,200,1000,22,525000.0,26.90909090909091,370.1818181818182,0.10581105061013368,0.09090927770446763,0.29170886015038006,0.2556550179474561,0.6854725525035897,0.8549704658158184,0.0459973180213181,0.06097767116267699,2.755181818181795,5.842009090909065,9.603896103896103,-29.582784816742706,-61.06162620813646,-24.525182302864007,21.818181818181817,336.1363636363636,5.090909090909091,18.080424242424268
model_35,10.0,0.01,0.99,200,2000,22,525000.0,26.90909090909091,200.45454545454547,0.13914953244296144,0.10132048323513144,0.3328054739590185,0.24301928151885732,0.3991256661413545,0.7613325820558455,0.04658037077345563,0.08595590575483061,4.794666666666663,8.163380952380935,5.188311688311689,-20.06459857653836,-37.108068265293106,-24.542863732160985,17.40909090909091,181.5909090909091,9.5,11.774636363636388
model_36,10.0,0.01,0.99,200,4000,22,525000.0,26.90909090909091,107.36363636363636,0.14003023146005095,0.09473274489752051,0.27084440218239086,0.18815455198206552,0.23760773185503717,0.4629788896661661,0.04856472531927449,0.09819671423469221,4.898666666666639,7.630199999999983,2.7662337662337664,-21.545094744899245,-30.57002359179936,-35.25990304872192,10.545454545454545,96.81818181818181,16.363636363636363,6.531848484848504
model_37,10.0,0.01,0.9999,10,500,22,525000.0,26.90909090909091,929.9090909090909,0.057874006074028365,0.056747137100020356,0.19413700909899206,0.19123527285020533,0.9857799668470532,0.9892421011823997,0.028580631773613266,0.03139676840081845,1.1386363636363532,2.5886272727272517,24.322077922077924,-70.33099822800635,-149.74489547395385,-37.26041324139623,26.636363636363637,851.2727272727273,0.2727272727272727,26.01948484848485
model_38,10.0,0.01,0.9999,10,1000,22,525000.0,26.90909090909091,488.0,0.0905477173908007,0.08036458164582007,0.26945634950536135,0.24619203341049223,0.8859704764369404,0.9620216880421427,0.04354196010990802,0.05143660708400306,2.3230909090908836,4.604145454545434,12.745454545454544,-36.20023677856251,-77.91575632955447,-23.978840639430178,23.90909090909091,446.09090909090907,3.0,20.6627878787879
model_39,10.0,0.01,0.9999,10,2000,22,525000.0,26.90909090909091,250.77272727272728,0.12694236787129776,0.0933976027785647,0.33650739435360566,0.2541623125985715,0.5156684158851813,0.8836751761502056,0.04226579134394343,0.07646324007598851,4.263181818181781,7.479672727272714,6.546753246753247,-22.291120962517695,-43.77672145877916,-23.36650253256878,19.136363636363637,229.13636363636363,7.7727272727272725,13.372787878787925
model_40,10.0,0.01,0.9999,10,4000,22,525000.0,26.90909090909091,127.68181818181819,0.12218626762733596,0.08203898857979582,0.26150039581996104,0.18034343456819193,0.31407791195080675,0.5351064809111292,0.046971663490230624,0.08393215022235681,4.745181818181812,8.143845454545454,3.3389610389610387,-23.082208166552903,-34.007117000461136,-35.61975374959878,10.818181818181818,116.86363636363636,16.09090909090909,6.788151515151535
