model_id,drift_confidence,warning_confidence,lambda_option,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,0.01,False,1,500,22,525000.0,26.90909090909091,27.09090909090909,0.045405010290239994,0.045405010290239994,0.05105929437887546,0.05105929437887546,0.08521347933112638,0.08521347933112638,0.06254711292024724,0.13972875704032045,1.5487499999999987,1.64744999999999,0.7090909090909091,-28.295803833581864,-30.238690114739857,-53.91526978391196,0.6818181818181818,24.818181818181817,26.227272727272727,0.6818181818181818
model_2,0.0001,0.001,0.01,False,1,1000,22,525000.0,26.90909090909091,15.272727272727273,0.05301579733397914,0.05114156582912459,0.05845600456971429,0.05605935275366655,0.04434046345811052,0.08521347933112638,0.04786682615629984,0.1762121212121212,3.2237499999999915,3.559574999999994,0.4012987012987013,-27.60457246599241,-28.702324097829152,-53.73751483189221,0.6818181818181818,14.045454545454545,26.227272727272727,0.6297575757575768
model_3,0.0001,0.001,0.01,False,1,2000,22,525000.0,26.90909090909091,8.0,0.05988392920211101,0.029454458181863884,0.06306831336953388,0.028450170206020222,0.01403743315508021,0.07763772175536882,0.06876456876456877,0.18356643356643357,5.852750000000001,6.084000000000001,0.21038961038961038,-27.138167387044255,-27.70299264359417,-53.58302748604203,0.5909090909090909,7.363636363636363,26.318181818181817,0.341333333333333
model_4,0.0001,0.001,0.01,False,1,3000,22,525000.0,26.90909090909091,5.409090909090909,0.014354760117471978,0.012639838067881324,0.013493868185862285,0.008751659152150695,0.010249554367201423,0.017825311942959002,0.09133790737564321,0.09219554030874785,3.0413333333333057,3.0845333333333076,0.14805194805194802,-27.10865910650483,-27.49362419217663,-53.68890383639621,0.22727272727272727,5.181818181818182,26.681818181818183,0.12542424242424358
model_5,0.0001,0.001,0.01,False,1,5000,22,525000.0,26.90909090909091,3.409090909090909,0.014435856541119695,0.01348625761250995,0.012407147907661896,0.010290224931055404,0.01403743315508021,0.01403743315508021,0.09232954545454546,0.09232954545454546,1.9499999999999817,2.9321999999999733,0.09220779220779218,-26.991024357489668,-27.22102403192653,-53.69420633845305,0.18181818181818182,3.227272727272727,26.727272727272727,0.14515151515151578
model_6,0.0001,0.001,0.01,False,10,500,22,525000.0,26.90909090909091,26.954545454545453,0.0384094953045739,0.0384094953045739,0.046880120169910194,0.046880120169910194,0.0814256005432476,0.0814256005432476,0.0534536817994067,0.09427289977574606,1.7145714285714184,1.8025714285714227,0.7116883116883117,-28.321163704239222,-30.271668174074843,-53.93682056023051,0.6363636363636364,24.90909090909091,26.272727272727273,0.6363636363636364
model_7,0.0001,0.001,0.01,False,10,1000,22,525000.0,26.90909090909091,15.181818181818182,0.04671149557513193,0.04386542498440806,0.05488711338614422,0.05212488240545805,0.04055258467023173,0.0814256005432476,0.025136612021857917,0.13126262626262625,3.7668571428571314,4.106771428571422,0.4012987012987013,-27.550609169589425,-28.64401334622518,-53.64027071763518,0.6363636363636364,14.045454545454545,26.272727272727273,0.5899696969696978
model_8,0.0001,0.001,0.01,False,10,2000,22,525000.0,26.90909090909091,7.954545454545454,0.046667978486160305,0.019915166979534313,0.05362527213567738,0.021602683347285715,0.010249554367201423,0.066815210932858,0.02331002331002331,0.11509324009324008,6.437999999999994,6.765866666666667,0.21298701298701295,-27.158206173763666,-27.72799151389903,-53.60058623096871,0.45454545454545453,7.454545454545454,26.454545454545453,0.24896969696969845
model_9,0.0001,0.001,0.01,False,10,3000,22,525000.0,26.90909090909091,5.409090909090909,0.0073617531244649865,0.005647351189852946,0.009323726401041605,0.004582943244206505,0.006461675579322635,0.014037433155080214,0.045883361921097765,0.0467409948542024,4.50999999999994,4.57839999999996,0.14935064935064932,-27.108607260013628,-27.493572282388925,-53.688852021553245,0.18181818181818182,5.2272727272727275,26.727272727272727,0.08000000000000175
model_10,0.0001,0.001,0.01,False,10,5000,22,525000.0,26.90909090909091,3.409090909090909,0.007442849548112704,0.0064948370147320635,0.008237006122841213,0.006123598652677773,0.010249554367201423,0.010249554367201423,0.046875,0.046875,2.8769999999999585,4.346699999999942,0.09350649350649348,-26.990947102772815,-27.220946777249296,-53.69412908371639,0.13636363636363635,3.272727272727273,26.772727272727273,0.09975757575757664
model_11,0.0001,0.001,0.01,False,50,500,22,525000.0,26.90909090909091,6.636363636363637,0.036258538463817054,0.036258538463817054,0.03577223964332527,0.03577223964332527,0.04132633199570319,0.04132633199570319,0.1158877172983756,0.16517497988736926,1.5931428571428572,1.5931428571428572,0.1636363636363636,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.3181818181818182,5.7272727272727275,26.59090909090909,0.3181818181818182
model_12,0.0001,0.001,0.01,False,50,1000,22,525000.0,26.90909090909091,3.909090909090909,0.03767545585727403,0.03704120802567798,0.036894921907955576,0.03600977258823672,0.009708428826075881,0.03975893387658093,0.06887052341597796,0.14615384615384613,2.73,2.73,0.09740259740259737,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,3.409090909090909,26.636363636363637,0.2693939393939394
model_13,0.0001,0.001,0.01,False,50,2000,22,525000.0,26.90909090909091,2.1818181818181817,0.04366590809278556,0.02036063981530512,0.039350691657864624,0.014927643166909617,0.005920550038197095,0.03975893387658093,0.09090909090909091,0.15285204991087345,5.526666666666666,5.526666666666666,0.05454545454545452,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,1.9090909090909092,26.636363636363637,0.14378787878787877
model_14,0.0001,0.001,0.01,False,50,3000,22,525000.0,26.90909090909091,1.5454545454545454,0.01111111111111111,0.01111111111111111,0.0065306919279718096,0.0065306919279718096,0.005920550038197095,0.005920550038197095,0.09090909090909091,0.09090909090909091,0.07,0.07,0.04155844155844153,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.4545454545454546,26.818181818181817,0.09090909090909091
model_15,0.0001,0.001,0.01,False,50,5000,22,525000.0,26.90909090909091,1.1363636363636365,0.01111111111111111,0.01111111111111111,0.0065306919279718096,0.0065306919279718096,0.005920550038197095,0.005920550038197095,0.09090909090909091,0.09090909090909091,0.07,0.07,0.029870129870129845,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.0454545454545454,26.818181818181817,0.09090909090909091
model_16,0.0001,0.001,0.01,False,100,500,22,525000.0,26.90909090909091,6.318181818181818,0.03686720578216179,0.03686720578216179,0.03634644025412538,0.03634644025412538,0.04121736849009576,0.04121736849009576,0.09357707509881424,0.143262987012987,1.5053333333333334,1.5053333333333334,0.15584415584415587,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,5.454545454545454,26.636363636363637,0.2727272727272727
model_17,0.0001,0.001,0.01,False,100,1000,22,525000.0,26.90909090909091,3.6818181818181817,0.04021624308705648,0.0384740986816175,0.03850405835070846,0.03666773477215422,0.007378984651711922,0.04121736849009576,0.06818181818181818,0.14616477272727274,3.0513333333333335,3.0513333333333335,0.0909090909090909,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,3.1818181818181817,26.636363636363637,0.2556060606060606
model_18,0.0001,0.001,0.01,False,100,2000,22,525000.0,26.90909090909091,2.0,0.04619116061803808,0.020329821843559977,0.040944552342634395,0.014609816141795358,0.007378984651711922,0.04121736849009576,0.09090909090909091,0.15285204991087345,5.857333333333334,5.857333333333334,0.04935064935064934,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,1.7272727272727273,26.636363636363637,0.12806060606060604
model_19,0.0001,0.001,0.01,False,100,3000,22,525000.0,26.90909090909091,1.3636363636363635,0.013636363636363634,0.013636363636363634,0.008124552612741587,0.008124552612741587,0.007378984651711922,0.007378984651711922,0.09090909090909091,0.09090909090909091,0.024,0.024,0.03636363636363635,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.2727272727272727,26.818181818181817,0.09090909090909091
model_20,0.0001,0.001,0.01,False,100,5000,22,525000.0,26.90909090909091,0.9545454545454546,0.013636363636363634,0.013636363636363634,0.008124552612741587,0.008124552612741587,0.007378984651711922,0.007378984651711922,0.09090909090909091,0.09090909090909091,0.024,0.024,0.024675324675324663,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,0.8636363636363636,26.818181818181817,0.09090909090909091
model_21,0.0001,0.001,0.01,True,1,500,22,525000.0,26.90909090909091,27.09090909090909,0.045405010290239994,0.045405010290239994,0.05105929437887546,0.05105929437887546,0.08521347933112638,0.08521347933112638,0.06254711292024724,0.13972875704032045,1.5487499999999987,1.64744999999999,0.7090909090909091,-28.295803833581864,-30.238690114739857,-53.91526978391196,0.6818181818181818,24.818181818181817,26.227272727272727,0.6818181818181818
model_22,0.0001,0.001,0.01,True,1,1000,22,525000.0,26.90909090909091,15.272727272727273,0.05301579733397914,0.05114156582912459,0.05845600456971429,0.05605935275366655,0.04434046345811052,0.08521347933112638,0.04786682615629984,0.1762121212121212,3.2237499999999915,3.559574999999994,0.4012987012987013,-27.60457246599241,-28.702324097829152,-53.73751483189221,0.6818181818181818,14.045454545454545,26.227272727272727,0.6297575757575768
model_23,0.0001,0.001,0.01,True,1,2000,22,525000.0,26.90909090909091,8.0,0.05988392920211101,0.029454458181863884,0.06306831336953388,0.028450170206020222,0.01403743315508021,0.07763772175536882,0.06876456876456877,0.18356643356643357,5.852750000000001,6.084000000000001,0.21038961038961038,-27.138167387044255,-27.70299264359417,-53.58302748604203,0.5909090909090909,7.363636363636363,26.318181818181817,0.341333333333333
model_24,0.0001,0.001,0.01,True,1,3000,22,525000.0,26.90909090909091,5.409090909090909,0.014354760117471978,0.012639838067881324,0.013493868185862285,0.008751659152150695,0.010249554367201423,0.017825311942959002,0.09133790737564321,0.09219554030874785,3.0413333333333057,3.0845333333333076,0.14805194805194802,-27.10865910650483,-27.49362419217663,-53.68890383639621,0.22727272727272727,5.181818181818182,26.681818181818183,0.12542424242424358
model_25,0.0001,0.001,0.01,True,1,5000,22,525000.0,26.90909090909091,3.409090909090909,0.014435856541119695,0.01348625761250995,0.012407147907661896,0.010290224931055404,0.01403743315508021,0.01403743315508021,0.09232954545454546,0.09232954545454546,1.9499999999999817,2.9321999999999733,0.09220779220779218,-26.991024357489668,-27.22102403192653,-53.69420633845305,0.18181818181818182,3.227272727272727,26.727272727272727,0.14515151515151578
model_26,0.0001,0.001,0.01,True,10,500,22,525000.0,26.90909090909091,26.954545454545453,0.0384094953045739,0.0384094953045739,0.046880120169910194,0.046880120169910194,0.0814256005432476,0.0814256005432476,0.0534536817994067,0.09427289977574606,1.7145714285714184,1.8025714285714227,0.7116883116883117,-28.321163704239222,-30.271668174074843,-53.93682056023051,0.6363636363636364,24.90909090909091,26.272727272727273,0.6363636363636364
model_27,0.0001,0.001,0.01,True,10,1000,22,525000.0,26.90909090909091,15.181818181818182,0.04671149557513193,0.04386542498440806,0.05488711338614422,0.05212488240545805,0.04055258467023173,0.0814256005432476,0.025136612021857917,0.13126262626262625,3.7668571428571314,4.106771428571422,0.4012987012987013,-27.550609169589425,-28.64401334622518,-53.64027071763518,0.6363636363636364,14.045454545454545,26.272727272727273,0.5899696969696978
model_28,0.0001,0.001,0.01,True,10,2000,22,525000.0,26.90909090909091,7.954545454545454,0.046667978486160305,0.019915166979534313,0.05362527213567738,0.021602683347285715,0.010249554367201423,0.066815210932858,0.02331002331002331,0.11509324009324008,6.437999999999994,6.765866666666667,0.21298701298701295,-27.158206173763666,-27.72799151389903,-53.60058623096871,0.45454545454545453,7.454545454545454,26.454545454545453,0.24896969696969845
model_29,0.0001,0.001,0.01,True,10,3000,22,525000.0,26.90909090909091,5.409090909090909,0.0073617531244649865,0.005647351189852946,0.009323726401041605,0.004582943244206505,0.006461675579322635,0.014037433155080214,0.045883361921097765,0.0467409948542024,4.50999999999994,4.57839999999996,0.14935064935064932,-27.108607260013628,-27.493572282388925,-53.688852021553245,0.18181818181818182,5.2272727272727275,26.727272727272727,0.08000000000000175
model_30,0.0001,0.001,0.01,True,10,5000,22,525000.0,26.90909090909091,3.409090909090909,0.007442849548112704,0.0064948370147320635,0.008237006122841213,0.006123598652677773,0.010249554367201423,0.010249554367201423,0.046875,0.046875,2.8769999999999585,4.346699999999942,0.09350649350649348,-26.990947102772815,-27.220946777249296,-53.69412908371639,0.13636363636363635,3.272727272727273,26.772727272727273,0.09975757575757664
model_31,0.0001,0.001,0.01,True,50,500,22,525000.0,26.90909090909091,6.636363636363637,0.036258538463817054,0.036258538463817054,0.03577223964332527,0.03577223964332527,0.04132633199570319,0.04132633199570319,0.1158877172983756,0.16517497988736926,1.5931428571428572,1.5931428571428572,0.1636363636363636,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.3181818181818182,5.7272727272727275,26.59090909090909,0.3181818181818182
model_32,0.0001,0.001,0.01,True,50,1000,22,525000.0,26.90909090909091,3.909090909090909,0.03767545585727403,0.03704120802567798,0.036894921907955576,0.03600977258823672,0.009708428826075881,0.03975893387658093,0.06887052341597796,0.14615384615384613,2.73,2.73,0.09740259740259737,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,3.409090909090909,26.636363636363637,0.2693939393939394
model_33,0.0001,0.001,0.01,True,50,2000,22,525000.0,26.90909090909091,2.1818181818181817,0.04366590809278556,0.02036063981530512,0.039350691657864624,0.014927643166909617,0.005920550038197095,0.03975893387658093,0.09090909090909091,0.15285204991087345,5.526666666666666,5.526666666666666,0.05454545454545452,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,1.9090909090909092,26.636363636363637,0.14378787878787877
model_34,0.0001,0.001,0.01,True,50,3000,22,525000.0,26.90909090909091,1.5454545454545454,0.01111111111111111,0.01111111111111111,0.0065306919279718096,0.0065306919279718096,0.005920550038197095,0.005920550038197095,0.09090909090909091,0.09090909090909091,0.07,0.07,0.04155844155844153,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.4545454545454546,26.818181818181817,0.09090909090909091
model_35,0.0001,0.001,0.01,True,50,5000,22,525000.0,26.90909090909091,1.1363636363636365,0.01111111111111111,0.01111111111111111,0.0065306919279718096,0.0065306919279718096,0.005920550038197095,0.005920550038197095,0.09090909090909091,0.09090909090909091,0.07,0.07,0.029870129870129845,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.0454545454545454,26.818181818181817,0.09090909090909091
model_36,0.0001,0.001,0.01,True,100,500,22,525000.0,26.90909090909091,6.318181818181818,0.03686720578216179,0.03686720578216179,0.03634644025412538,0.03634644025412538,0.04121736849009576,0.04121736849009576,0.09357707509881424,0.143262987012987,1.5053333333333334,1.5053333333333334,0.15584415584415587,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,5.454545454545454,26.636363636363637,0.2727272727272727
model_37,0.0001,0.001,0.01,True,100,1000,22,525000.0,26.90909090909091,3.6818181818181817,0.04021624308705648,0.0384740986816175,0.03850405835070846,0.03666773477215422,0.007378984651711922,0.04121736849009576,0.06818181818181818,0.14616477272727274,3.0513333333333335,3.0513333333333335,0.0909090909090909,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,3.1818181818181817,26.636363636363637,0.2556060606060606
model_38,0.0001,0.001,0.01,True,100,2000,22,525000.0,26.90909090909091,2.0,0.04619116061803808,0.020329821843559977,0.040944552342634395,0.014609816141795358,0.007378984651711922,0.04121736849009576,0.09090909090909091,0.15285204991087345,5.857333333333334,5.857333333333334,0.04935064935064934,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,1.7272727272727273,26.636363636363637,0.12806060606060604
model_39,0.0001,0.001,0.01,True,100,3000,22,525000.0,26.90909090909091,1.3636363636363635,0.013636363636363634,0.013636363636363634,0.008124552612741587,0.008124552612741587,0.007378984651711922,0.007378984651711922,0.09090909090909091,0.09090909090909091,0.024,0.024,0.03636363636363635,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.2727272727272727,26.818181818181817,0.09090909090909091
model_40,0.0001,0.001,0.01,True,100,5000,22,525000.0,26.90909090909091,0.9545454545454546,0.013636363636363634,0.013636363636363634,0.008124552612741587,0.008124552612741587,0.007378984651711922,0.007378984651711922,0.09090909090909091,0.09090909090909091,0.024,0.024,0.024675324675324663,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,0.8636363636363636,26.818181818181817,0.09090909090909091
model_41,0.0001,0.001,0.05,False,1,500,22,525000.0,26.90909090909091,1.0454545454545454,0.0218575616302889,0.0218575616302889,0.014347826304711327,0.014347826304711327,0.013243782361429418,0.013243782361429418,0.07348484848484847,0.10227272727272728,1.495,1.495,0.014285714285714261,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.18181818181818182,0.5,26.727272727272727,0.18181818181818182
model_42,0.0001,0.001,0.05,False,1,1000,22,525000.0,26.90909090909091,0.7272727272727273,0.022440312213039482,0.02232219508580535,0.014411488133079036,0.014333691968844549,0.0077243018419489,0.013243782361429418,0.056818181818181816,0.10606060606060606,3.062,3.062,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.18181818181818182,0.45454545454545453,26.727272727272727,0.18078787878787878
model_43,0.0001,0.001,0.05,False,1,2000,22,525000.0,26.90909090909091,0.5454545454545454,0.01744719926538108,0.009331774280254092,0.01092554761777105,0.0055791152868768824,0.00267379679144385,0.009997029114676174,0.045454545454545456,0.09090909090909091,5.386666666666667,5.386666666666667,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,0.4090909090909091,26.772727272727273,0.0756060606060606
model_44,0.0001,0.001,0.05,False,1,3000,22,525000.0,26.90909090909091,0.5,0.00505050505050505,0.00505050505050505,0.0029515938606847684,0.0029515938606847684,0.00267379679144385,0.00267379679144385,0.045454545454545456,0.045454545454545456,0.14,0.14,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.045454545454545456,0.45454545454545453,26.863636363636363,0.045454545454545456
model_45,0.0001,0.001,0.05,False,1,5000,22,525000.0,26.90909090909091,0.45454545454545453,0.00505050505050505,0.00505050505050505,0.0029515938606847684,0.0029515938606847684,0.00267379679144385,0.00267379679144385,0.045454545454545456,0.045454545454545456,0.14,0.14,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.045454545454545456,0.4090909090909091,26.863636363636363,0.045454545454545456
model_46,0.0001,0.001,0.05,False,10,500,22,525000.0,26.90909090909091,1.0,0.01680705657978385,0.01680705657978385,0.01139623244402656,0.01139623244402656,0.010569985569985568,0.010569985569985568,0.028030303030303027,0.056818181818181816,1.9533333333333331,1.9533333333333331,0.014285714285714261,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,0.5,26.772727272727273,0.13636363636363635
model_47,0.0001,0.001,0.05,False,10,1000,22,525000.0,26.90909090909091,0.6818181818181818,0.017389807162534434,0.017249555389173884,0.01145989427239427,0.011367731438904233,0.00505050505050505,0.010569985569985568,0.011363636363636364,0.0606060606060606,4.046666666666667,4.046666666666667,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,0.45454545454545453,26.772727272727273,0.13512121212121214
model_48,0.0001,0.001,0.05,False,10,2000,22,525000.0,26.90909090909091,0.5,0.012396694214876032,0.0042726804084947815,0.007973953757086281,0.0026218555351887316,0.0,0.007323232323232323,0.0,0.045454545454545456,8.012,8.012,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,0.4090909090909091,26.818181818181817,0.030121212121212125
model_49,0.0001,0.001,0.05,False,10,3000,22,525000.0,26.90909090909091,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012987012987012958,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.45454545454545453,26.90909090909091,0.0
model_50,0.0001,0.001,0.05,False,10,5000,22,525000.0,26.90909090909091,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01168831168831166,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,0.4090909090909091,26.90909090909091,0.0
model_51,0.0001,0.001,0.05,False,50,500,22,525000.0,26.90909090909091,1.0909090909090908,0.039534329307056575,0.039534329307056575,0.034123505171299286,0.034123505171299286,0.0332972582972583,0.0332972582972583,0.04437229437229437,0.07954545454545454,2.109,2.109,0.015584415584415555,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.18181818181818182,0.5454545454545454,26.727272727272727,0.18181818181818182
