metric,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
F3-Weighted,floss (0.4798),kswin (0.4147),adwin (0.4004),page_hinkley (0.3897),hddm_a (0.3602),hddm_w (0.3541)
NAB Standard,floss (-1.4142),adwin (-4.2820),hddm_w (-4.4566),hddm_a (-5.1989),page_hinkley (-5.2182),kswin (-5.2573)
Recall@10s,kswin (0.9944),adwin (0.9777),page_hinkley (0.9540),hddm_a (0.8878),hddm_w (0.8080),floss (0.6499)
Precision@10s,floss (0.3169),hddm_a (0.1136),hddm_w (0.1082),kswin (0.1074),adwin (0.1020),page_hinkley (0.1002)
FP/min,floss (1.4215),hddm_w (7.4312),hddm_a (9.1468),kswin (9.4279),page_hinkley (9.7266),adwin (10.0009)
EDD Median,adwin (2.6366),hddm_w (2.6745),page_hinkley (2.8280),hddm_a (2.8506),kswin (2.8931),floss (3.2786)
