detector,f3_weighted_mean,f3_weighted_median,f1_weighted_mean,f1_weighted_median,recall_10s_mean,recall_10s_median,precision_10s_mean,precision_10s_median,fp_per_min_mean,fp_per_min_median,edd_median_s_mean,edd_median_s_median,nab_score_standard_mean,nab_score_standard_median
adwin,0.2952722716551983,0.2730977837312101,0.14345927830364852,0.1046128433936427,0.720626979249001,0.8333333333333334,0.12575210994013986,0.0777777777777777,6.716127646227309,4.412915131618536,4.070921092174615,3.82,-6.806566803625817,-2.99
page_hinkley,0.17266657394745807,0.10930384049746364,0.09727988196679076,0.0476190476190476,0.38211687172366593,0.3333333333333333,0.10524954940056006,0.0384615384615384,3.290118242931452,1.9543549542898089,4.244537560533411,4.109999999999985,-6.664611883710728,-3.1928061622232486
kswin,0.2528712794055146,0.2325581395348837,0.11443088441512304,0.074074074074074,0.6630561661810206,1.0,0.0940871392340266,0.0512820512820512,7.393365477797484,4.728204502470868,3.752789035030602,3.3139999999999974,-9.523547653356902,-3.21
hddm_a,0.20276290831518962,0.1818181818181818,0.11472494661533489,0.08,0.45964305629323365,0.5,0.12362844622260441,0.0657894736842105,3.8477661852664498,2.5500910840821183,4.300370049819997,4.191999999999993,-6.71385262012078,-3.1366477932033003
hddm_w,0.1860635297296803,0.14302681359839953,0.10961161549115805,0.0603248759901282,0.3991235442927884,0.3333333333333333,0.1162662144791065,0.05,2.9314711986617525,1.947546091924176,4.373172910415774,4.309999999999998,-5.833921415977639,-2.877346011081701
floss,0.20615973768510623,0.15183510130857086,0.16688557868120443,0.0937251787132644,0.3237540279140987,0.25,0.2256249106595644,0.0769230769230769,1.0840401539201838,0.5272963757162443,4.341061274733922,4.247999999999987,-4.318886857818029,-2.224937344143597
